,Methode,Number of queries,Gap,Times
0,1.0,7.0,0.0,0.20287680625915527
1,2.0,8.0,7.906501978176998,0.3178219795227051
2,1.0,5.0,0.0,0.06916499137878418
3,2.0,8.0,6.90320028035112,0.33097100257873535
4,1.0,7.0,0.0,0.19977188110351562
5,2.0,8.0,6.885408987418073,0.32439303398132324
6,1.0,5.0,1.3192930640411395e-14,0.07111716270446777
7,2.0,8.0,7.20418017121342,0.31580686569213867
8,1.0,7.0,0.0,0.20411109924316406
9,2.0,8.0,8.114281834975694,0.32010698318481445
10,1.0,7.0,-1.2711885549741e-14,0.22047209739685059
11,2.0,6.0,9.204272841818574,0.1959218978881836
12,1.0,5.0,-1.3434837064220858e-14,0.10918664932250977
13,2.0,8.0,6.426843565633374,0.32961106300354004
14,1.0,5.0,1.3201890542654484e-14,0.07352900505065918
15,2.0,8.0,7.2269321772490045,0.32000088691711426
16,1.0,5.0,0.0,0.06697320938110352
17,2.0,8.0,7.894384471425857,0.3142409324645996
18,1.0,5.0,0.0,0.13164067268371582
19,2.0,8.0,6.903793926468638,0.32111191749572754
20,1.0,7.0,0.0,0.2006068229675293
21,2.0,7.0,4.714618021049357,0.3335280418395996
22,1.0,7.0,0.0,0.1972060203552246
23,2.0,8.0,6.814280289155932,0.3108689785003662
24,1.0,8.0,0.0,0.2627129554748535
25,2.0,8.0,6.997406295708337,0.3214128017425537
26,1.0,5.0,1.320131286261087e-14,0.07198286056518555
27,2.0,8.0,7.435961459439593,0.3188169002532959
28,1.0,6.0,-1.3170504650517068e-14,0.09711074829101562
29,2.0,8.0,7.569712569701224,0.31548309326171875
30,1.0,5.0,2.566655903001627e-14,0.07004594802856445
31,2.0,8.0,9.095915202737851,0.31485986709594727
32,1.0,5.0,0.0,0.07330608367919922
33,2.0,8.0,6.789113896197573,0.31278014183044434
34,1.0,5.0,1.2985158639220056e-14,0.06894588470458984
35,2.0,8.0,8.219362479527163,0.3313889503479004
36,1.0,6.0,0.0,0.09440112113952637
37,2.0,8.0,7.296084683654595,0.3215351104736328
38,1.0,8.0,0.0,0.36400580406188965
39,2.0,8.0,7.21060548308709,0.31528401374816895
