,Methode,Number of queries,Gap,Times
0,1.0,5.0,1.350763807052093e-14,0.05933499336242676
1,2.0,6.0,5.920941076012735,0.2244250774383545
2,1.0,2.0,-2.3835199071396818e-14,0.08601689338684082
3,2.0,8.0,5.550613684909908,0.19073796272277832
4,1.0,5.0,1.2267470029754374e-14,0.06213498115539551
5,2.0,5.0,9.136843651699037,0.1325669288635254
6,1.0,5.0,-1.2401452338662713e-14,0.058120012283325195
7,2.0,6.0,9.416725369292815,0.15187501907348633
8,1.0,5.0,0.0,0.05782771110534668
9,2.0,5.0,8.853238916521951,0.1318807601928711
10,1.0,5.0,-1.3030112447575771e-14,0.0581820011138916
11,2.0,5.0,7.703872999551277,0.21661996841430664
12,1.0,2.0,0.6781808102832838,0.04792332649230957
13,2.0,6.0,5.8892945971197195,0.1734299659729004
14,1.0,7.0,1.2587587994154199e-14,0.1762559413909912
15,2.0,5.0,7.865911141555134,0.14673113822937012
16,1.0,5.0,-2.6325912473247843e-14,0.06023597717285156
17,2.0,6.0,7.53348936355551,0.22690987586975098
18,1.0,4.0,0.0,0.0572662353515625
19,2.0,5.0,5.930014300173668,0.1569969654083252
20,1.0,5.0,-1.221100309633268e-14,0.05938291549682617
21,2.0,5.0,8.934710949273036,0.12962102890014648
22,1.0,7.0,1.277209660444699e-14,0.1683049201965332
23,2.0,8.0,9.086128128805749,0.24095582962036133
24,1.0,5.0,0.0,0.05739021301269531
25,2.0,5.0,8.887935447689744,0.12723994255065918
26,1.0,7.0,1.202010678549618e-14,0.16284775733947754
27,2.0,8.0,7.084635228870854,0.18063592910766602
28,1.0,2.0,2.368574046454897,0.04449272155761719
29,2.0,5.0,6.2754580413088,0.17937803268432617
30,1.0,5.0,0.0,0.05657196044921875
31,2.0,5.0,7.257133518984709,0.21151018142700195
32,1.0,5.0,0.0,0.056472063064575195
33,2.0,5.0,8.966578325632273,0.12581610679626465
34,1.0,5.0,0.0,0.05507707595825195
35,2.0,5.0,8.493625991871982,0.1256999969482422
36,1.0,3.0,1.300281568158783e-14,0.05022382736206055
37,2.0,5.0,7.272762046592864,0.15407681465148926
38,1.0,7.0,1.3092769437938988e-14,0.16414117813110352
39,2.0,8.0,8.041878663669527,0.2433788776397705
